File Number,Loan Account Number,Sub LAN,Case Filing Date,Forum (court),Case type,Case Number,Case Year,Petitioner,Respondent,CNR (district courts),Lawyer,Next Hearing Date,TransactionId,Status,Remarks
"=""FN93148230""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1019""","=""2024""","=""Ms. Tabitha Towne""","=""Sandy Bauch""","=""CNR813610768198""","=""Ronald Beer II""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN19570288""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1020""","=""2024""","=""Willie Ziemann""","=""Kendra Fahey""","=""CNR701625680374""","=""Max Stamm""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN76725243""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1021""","=""2024""","=""Mr. Alfonso Ratke""","=""Steve Bernier""","=""CNR443929421488""","=""Dr. Kendra Tillman""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN09484481""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1022""","=""2024""","=""Anna Hartmann""","=""Joel Gutmann""","=""CNR493358126474""","=""Francisco Harris""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN46760354""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1023""","=""2024""","=""Boyd Schinner""","=""Eva Harber""","=""CNR348588627368""","=""Candace Waters""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN07535016""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1024""","=""2024""","=""Loretta Huels""","=""Johanna Ondricka""","=""CNR715708498217""","=""Kelly Yost""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN09893154""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1025""","=""2024""","=""Olivia Robel""","=""Wilma Armstrong""","=""CNR700621473640""","=""Eileen Cruickshank""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN55416851""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1026""","=""2024""","=""Gustavo Langworth""","=""Anthony Braun""","=""CNR592411843253""","=""Randolph Bartell MD""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN01058600""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1027""","=""2024""","=""Dr. Emma Langworth""","=""Bob Upton""","=""CNR216361995340""","=""Heather Aufderhar""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN43896143""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1028""","=""2024""","=""Virginia Mueller""","=""Nathan Jacobs""","=""CNR574731168932""","=""Vicki Nicolas PhD""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN38384182""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1029""","=""2024""","=""Bernard Schowalter""","=""Preston Klocko""","=""CNR447041623840""","=""Bobbie Bogan""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN31373338""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1030""","=""2024""","=""Raymond Willms""","=""Ms. Pam Corwin""","=""CNR239948874425""","=""Terry Haley Sr.""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN86462336""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1031""","=""2024""","=""Gary Macejkovic""","=""Eddie Raynor""","=""CNR216184062095""","=""Gail Effertz""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN02195146""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1032""","=""2024""","=""Guy Herman""","=""Frederick Effertz""","=""CNR259856169308""","=""Darryl Lueilwitz""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN16870411""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1033""","=""2024""","=""Jim Leffler""","=""Dianna Gottlieb""","=""CNR273861003549""","=""Colin Schmidt""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN60896509""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1034""","=""2024""","=""Randal Prohaska Jr.""","=""Julio Crist""","=""CNR348619410869""","=""Silvia Kreiger""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN30232219""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1035""","=""2024""","=""Angelo Quitzon""","=""Reginald McDermott""","=""CNR954793966525""","=""Ronnie Kohler""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN52098050""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1036""","=""2024""","=""Olive Hagenes""","=""Caroline Lindgren""","=""CNR419215787119""","=""Lucy Feeney II""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN05845563""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1037""","=""2024""","=""Beth Fay""","=""Lyle Volkman""","=""CNR021225997415""","=""Adrian Jacobi""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN33340984""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1038""","=""2024""","=""Francis Wehner""","=""Earl Keeling""","=""CNR752906525838""","=""Ella Kilback""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN70989836""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1039""","=""2024""","=""Micheal Blanda""","=""Emily Ebert I""","=""CNR050989507892""","=""Priscilla Quitzon Jr.""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN13419871""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1040""","=""2024""","=""Erik Marquardt MD""","=""Jared Cummerata MD""","=""CNR633616101185""","=""Dolores Koelpin IV""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN38784739""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1041""","=""2024""","=""Laurence Mayer""","=""Veronica Smitham-Kuvalis III""","=""CNR106278145519""","=""Rodolfo Crooks""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN29253644""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1042""","=""2024""","=""Dr. Howard Littel""","=""Darrell Moore""","=""CNR778795032001""","=""Miss Veronica Gutmann II""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN34164843""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1043""","=""2024""","=""Gene Denesik IV""","=""Andre Rowe""","=""CNR740932180000""","=""Eleanor Collier""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN99559579""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1044""","=""2024""","=""May Hartmann""","=""Eileen Stiedemann-Grady""","=""CNR026851174570""","=""Ramon Hilpert""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN49163553""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1045""","=""2024""","=""Leah Paucek""","=""Ana Rempel DDS""","=""CNR219460222447""","=""Neil Rutherford""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN12294526""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1046""","=""2024""","=""Rosalie Keeling""","=""June Harris-Funk""","=""CNR007544237126""","=""Dr. Patrick Raynor""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN30908271""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1047""","=""2024""","=""Darrin Wiegand""","=""Arnold Schuster""","=""CNR468559924297""","=""Joel Stroman""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN18437323""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1048""","=""2024""","=""Alvin Hilll""","=""Van Lynch""","=""CNR625449396886""","=""Joey Nicolas""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN24744616""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1049""","=""2024""","=""Shari Feil""","=""Clay Kutch""","=""CNR475835217935""","=""Lamar O'Hara""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN14275569""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1050""","=""2024""","=""Amy Pollich-Wyman""","=""Brandy Johns""","=""CNR147848327998""","=""Myra Crona""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN11251173""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1051""","=""2024""","=""Lester Okuneva""","=""Jill Parisian""","=""CNR291786431050""","=""Flora Murazik DDS""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN72860858""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1052""","=""2024""","=""Kristen Dach""","=""Cody Runte""","=""CNR835129028439""","=""Wayne Hirthe""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN38896693""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1053""","=""2024""","=""Miranda Bernier""","=""Valerie Kub""","=""CNR531951736146""","=""Toni Weimann-Franecki""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN71799333""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1054""","=""2024""","=""Marcia Zieme-Dickinson""","=""Erin Thiel MD""","=""CNR948406870760""","=""Joyce Olson""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN13529156""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1055""","=""2024""","=""Philip Stehr""","=""Dr. Gustavo Champlin""","=""CNR138458600831""","=""Jake Goodwin""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN72260106""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1056""","=""2024""","=""Lynda O'Connell DVM""","=""Terry Collier""","=""CNR215614172248""","=""Ignacio Gleason""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN38304251""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1057""","=""2024""","=""Sammy Harber""","=""Chester Hermiston""","=""CNR693908900316""","=""Tomas Hirthe-Gerlach""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN05075299""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1058""","=""2024""","=""Evelyn Carter""","=""Mrs. Faye Reilly""","=""CNR632216919330""","=""Jennie Predovic""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN18073877""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1059""","=""2024""","=""Dr. Alison Zieme""","=""Kelli Beatty Sr.""","=""CNR228176270651""","=""Alberta King""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN03027561""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1060""","=""2024""","=""Jerald Romaguera""","=""Phyllis Rolfson""","=""CNR531711590103""","=""Mrs. Eula Mayer""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN60355744""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1061""","=""2024""","=""Stacey Howell""","=""Drew Zemlak""","=""CNR185011035255""","=""Dr. Clarence Kuvalis""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN06804853""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1062""","=""2024""","=""Conrad Terry""","=""Wilma Kirlin""","=""CNR952273767335""","=""Rufus Moen""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN61325142""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1063""","=""2024""","=""Robin Doyle""","=""Leonard O'Conner""","=""CNR412772751394""","=""Cary Bode""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN53924850""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1064""","=""2024""","=""Rosalie Brekke I""","=""Tony Beier""","=""CNR986377267945""","=""Sammy Goyette""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN27257010""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1065""","=""2024""","=""Muriel Buckridge""","=""Frankie Hilpert""","=""CNR618536445008""","=""Johnathan Hane""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN27736177""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1066""","=""2024""","=""Raquel Reinger""","=""Karen Daniel""","=""CNR782554324363""","=""Alonzo West""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN15786811""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1067""","=""2024""","=""Elbert Hackett V""","=""Miss Peggy Buckridge""","=""CNR479843836504""","=""Jack Hand DVM""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN79630640""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1068""","=""2024""","=""Dr. Cecil Ferry""","=""Manuel Nienow III""","=""CNR859734881765""","=""Jorge Fahey IV""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN39691778""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1069""","=""2024""","=""Marco Reichel""","=""Ms. Courtney McGlynn""","=""CNR141248546377""","=""Isaac Braun PhD""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN99028930""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1070""","=""2024""","=""Teri Dickens""","=""Casey Collier""","=""CNR960873700972""","=""Walter Hagenes DVM""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN81878341""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1071""","=""2024""","=""Steve O'Kon""","=""Jean Gottlieb-Ullrich""","=""CNR765387470822""","=""Irving Bins-Brakus""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN37118242""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1072""","=""2024""","=""Cristina O'Hara""","=""Teri Padberg""","=""CNR966583247898""","=""Gladys Borer""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN25929738""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1073""","=""2024""","=""Tina Tromp""","=""Christine Gutkowski""","=""CNR886708481520""","=""Conrad Parisian DVM""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN97629230""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1074""","=""2024""","=""Kathryn Littel""","=""Don Beer""","=""CNR797673921135""","=""Earl Windler""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN52250142""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1075""","=""2024""","=""Howard Maggio""","=""Ada Vandervort""","=""CNR338543275149""","=""Kelly McClure""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN17530688""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1076""","=""2024""","=""Sheldon Anderson""","=""Sam Gottlieb""","=""CNR651350108074""","=""Celia Zboncak""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN76217533""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1077""","=""2024""","=""Belinda Spinka I""","=""Ernesto Hammes""","=""CNR657071560433""","=""Armando Wisozk""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN25373896""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1078""","=""2024""","=""Candice Krajcik""","=""Dr. Veronica Schmeler""","=""CNR019929792882""","=""Lela Dickinson""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN62203341""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1079""","=""2024""","=""Jon Kutch MD""","=""Dexter Fisher""","=""CNR936567231401""","=""Wendell Abshire""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN66459295""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1080""","=""2024""","=""Shirley Stark""","=""Marguerite Lemke""","=""CNR114743915717""","=""Melvin Herman""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN81007960""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1081""","=""2024""","=""Justin Spinka I""","=""Yvonne Willms""","=""CNR255618199175""","=""Kelley Kihn""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN83782177""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1082""","=""2024""","=""Brent Leannon MD""","=""Gertrude Baumbach""","=""CNR702792438994""","=""Alex Wolf""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN12279115""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1083""","=""2024""","=""Priscilla Johns""","=""Silvia Baumbach""","=""CNR990826251977""","=""Cody Homenick""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN28984351""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1084""","=""2024""","=""Doreen Heathcote-Olson""","=""Sergio MacGyver""","=""CNR718942592068""","=""Melanie Luettgen""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN06763562""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1085""","=""2024""","=""Ms. Francis Herman""","=""Helen Bins""","=""CNR677354914229""","=""Renee Bauch""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN24284131""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1086""","=""2024""","=""Amy Pagac""","=""Sean Jacobi""","=""CNR011334379252""","=""Dr. Jerry Herzog-Cummerata""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN77366938""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1087""","=""2024""","=""Renee Schulist""","=""Glenn Lockman""","=""CNR212351105246""","=""Pablo Boyle""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN84207073""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1088""","=""2024""","=""Fannie Schaefer""","=""Lois West""","=""CNR787921608478""","=""Alberta Goyette""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN04644345""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1089""","=""2024""","=""Lee Watsica""","=""Jason Kunze PhD""","=""CNR174704011430""","=""Ms. Nora Kertzmann-Hoppe""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN36332609""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1090""","=""2024""","=""Mary Carter""","=""Shawna Koepp""","=""CNR030369208118""","=""Debra Heidenreich""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN92387973""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1091""","=""2024""","=""Ralph Sanford""","=""Rita Macejkovic""","=""CNR879182837186""","=""Tara Terry""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN96809157""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1092""","=""2024""","=""Sandra Sauer""","=""Freddie Ratke""","=""CNR398707848706""","=""Vera Lind""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN01466000""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1093""","=""2024""","=""Charlotte Sawayn""","=""Albert Wolf""","=""CNR333345931208""","=""Kim Langworth""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN16981232""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1094""","=""2024""","=""Miriam Collier""","=""Sidney Kassulke-Heathcote""","=""CNR984967894586""","=""Miss Marjorie Rolfson""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN65930900""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1095""","=""2024""","=""Edwin Bradtke""","=""Jean Kertzmann PhD""","=""CNR200022845502""","=""Edmond Schmidt""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN29435366""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1096""","=""2024""","=""Katrina Greenholt""","=""Dolores Bogisich""","=""CNR006808583198""","=""Leroy Ernser""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN46510193""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1097""","=""2024""","=""Mr. Hugo Gorczany""","=""Rogelio Kertzmann IV""","=""CNR060463687268""","=""Nadine Hyatt""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN27216508""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1098""","=""2024""","=""Mr. Forrest Ferry""","=""Alton Gusikowski PhD""","=""CNR800179867666""","=""Orville Bayer""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN08429996""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1099""","=""2024""","=""Laurence Johns""","=""Seth Bashirian-Willms""","=""CNR407879127537""","=""Dr. Perry Blick""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN90715919""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1100""","=""2024""","=""Gloria Sipes-McLaughlin""","=""Rosemarie Grady""","=""CNR089267749753""","=""Rosa Breitenberg""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN79912394""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1101""","=""2024""","=""Amy Hamill""","=""Nicholas Huels""","=""CNR140627504726""","=""Shelia McClure""","=""2028-12-31""","=""20260730205543611""",Success,
