File Number,Loan Account Number,Sub LAN,Case Filing Date,Forum (court),Case type,Case Number,Case Year,Petitioner,Respondent,CNR (district courts),Lawyer,Next Hearing Date,TransactionId,Status,Remarks
"=""FN21365069""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1012""","=""2024""","=""Ramiro Kub""","=""Omar Gibson""","=""CNR349287307588""","=""Miss Rita Anderson""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN48190824""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1013""","=""2024""","=""Karl Wisoky""","=""Nancy Stark V""","=""CNR585180734219""","=""Sylvester Grant""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN67814631""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1014""","=""2024""","=""Jack Halvorson""","=""Richard Zemlak""","=""CNR236273716731""","=""Hubert Dickens""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN95329281""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1015""","=""2024""","=""Sheldon Gorczany DVM""","=""Alfredo Gusikowski""","=""CNR566323131831""","=""Miss Dixie Bartoletti""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN74900585""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1016""","=""2024""","=""Jana Klein""","=""Stewart Gulgowski""","=""CNR985435010818""","=""Nelson Gleason""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN17149972""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1017""","=""2024""","=""Shannon Nienow""","=""Thomas Jast-Olson III""","=""CNR074655492524""","=""Krystal Keebler""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN27559245""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1018""","=""2024""","=""Terri Kuhic""","=""Vanessa Gutkowski""","=""CNR184941958340""","=""Marie Heidenreich""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN10327229""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1019""","=""2024""","=""Frankie Roberts""","=""Miss Edna Runte""","=""CNR869073019627""","=""Lionel Watsica""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN52179721""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1020""","=""2024""","=""Dean Wehner""","=""Kurt Jones""","=""CNR317943783305""","=""Tyrone Borer""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN71012305""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1021""","=""2024""","=""Stacy Barton Jr.""","=""Joann Schiller""","=""CNR524205895597""","=""Emily Davis""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN63761120""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1022""","=""2024""","=""Eugene Williamson""","=""Salvador Prosacco""","=""CNR257718174845""","=""Cecilia Muller""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN00444359""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1023""","=""2024""","=""Mildred Kovacek DDS""","=""Sheldon O'Hara""","=""CNR774840646560""","=""Willard Mayert""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN74722317""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1024""","=""2024""","=""Harriet Buckridge-Rutherford""","=""Tamara Collins-Schmitt""","=""CNR027103245764""","=""Micheal Leannon""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN71219739""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1025""","=""2024""","=""Melinda Stroman""","=""Charlene Friesen""","=""CNR180542620778""","=""Alex Schamberger""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN37113202""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1026""","=""2024""","=""Mr. Reginald Oberbrunner""","=""Erin Carter""","=""CNR226475665800""","=""Mona Carter""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN58197262""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1027""","=""2024""","=""Preston Lebsack MD""","=""Sandra Wolff""","=""CNR364522819878""","=""Dr. Lynda Nader""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN15667676""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1028""","=""2024""","=""Judy Hudson""","=""Kathy Gibson""","=""CNR959044112132""","=""Kristina O'Reilly""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN17487864""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1029""","=""2024""","=""Dr. Lorraine Brekke""","=""Claude Monahan IV""","=""CNR137321295315""","=""Hilda Wiza V""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN78225027""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1030""","=""2024""","=""Damon D'Amore""","=""Max Fahey""","=""CNR673123556719""","=""Dr. Angelo Abshire""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN12031024""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1031""","=""2024""","=""Danny Schowalter""","=""Nathaniel Lind""","=""CNR708318534776""","=""April Quigley""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN83237424""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1032""","=""2024""","=""Roosevelt Torp""","=""Dr. Cary Olson""","=""CNR943830609775""","=""Kim Bauch""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN95182049""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1033""","=""2024""","=""Dr. Pam Wiegand""","=""Noel Jast""","=""CNR070280204932""","=""Jackie Ernser""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN98580495""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1034""","=""2024""","=""Colleen Trantow PhD""","=""Dr. Penny Gleichner""","=""CNR919892597736""","=""Marian Yundt""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN66054591""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1035""","=""2024""","=""Dr. Patti Wisozk I""","=""Kelley Botsford""","=""CNR573085081076""","=""Sophie Waters""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN92847999""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1036""","=""2024""","=""Ignacio Fritsch""","=""Willard Quigley DDS""","=""CNR057430368654""","=""Darnell Gerhold""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN55985046""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1037""","=""2024""","=""Camille Carroll Sr.""","=""Aubrey Rice Jr.""","=""CNR401587473238""","=""Toby McDermott""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN80085034""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1038""","=""2024""","=""Andre Koss""","=""Guadalupe Mante""","=""CNR756338349119""","=""Jessica Cummings""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN14054506""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1039""","=""2024""","=""Gertrude Kozey""","=""Martin Parker""","=""CNR507136486592""","=""Marc Grant""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN39981555""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1040""","=""2024""","=""Hope MacGyver""","=""Jonathon Huel""","=""CNR292427652880""","=""Cody Mueller""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN95837941""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1041""","=""2024""","=""Lora Walsh""","=""Miss Leona Rice""","=""CNR555270313828""","=""Ruben Corwin""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN09454280""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1042""","=""2024""","=""Benny Kiehn""","=""Leona Braun""","=""CNR832886272033""","=""Francis Rutherford Sr.""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN54435999""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1043""","=""2024""","=""Lola Block Sr.""","=""Winston Wunsch""","=""CNR169001196179""","=""Teresa Osinski""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN31846081""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1044""","=""2024""","=""Margaret Haag""","=""Kari Lakin""","=""CNR216820361606""","=""Maurice Hilll""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN43644525""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1045""","=""2024""","=""Mrs. Muriel Schmitt""","=""Lorena Satterfield""","=""CNR766582985613""","=""Priscilla Yundt""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN43450679""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1046""","=""2024""","=""Jacqueline Kerluke""","=""Thomas Stiedemann""","=""CNR437022975188""","=""Mr. Rolando Koss""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN82817864""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1047""","=""2024""","=""Della Jakubowski""","=""Denise Leannon MD""","=""CNR055342903018""","=""Betty Grady""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN65421640""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1048""","=""2024""","=""Van Harber""","=""Blanca Homenick""","=""CNR475885868778""","=""Elijah Fisher""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN19446672""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1049""","=""2024""","=""Nancy Flatley III""","=""Glen Baumbach""","=""CNR754343379929""","=""Esther Grady""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN48776699""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1050""","=""2024""","=""Brian Hauck""","=""Jake Krajcik""","=""CNR411007244782""","=""Lorene Lang""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN98131365""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1051""","=""2024""","=""Melanie Rowe""","=""Kristopher McLaughlin-Jakubowski""","=""CNR593346393482""","=""Dorothy Kertzmann""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN89755003""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1052""","=""2024""","=""Alexander Klocko""","=""Edna McClure""","=""CNR738123035739""","=""Sheri Kling""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN54142780""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1053""","=""2024""","=""Rudy Wiegand""","=""Dennis Beier""","=""CNR785557676841""","=""Stacey Mohr""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN13552684""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1054""","=""2024""","=""Alonzo McKenzie""","=""Max McDermott""","=""CNR660678886486""","=""Mr. Bradford Wiegand""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN15650324""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1055""","=""2024""","=""Kristina Russel""","=""Isaac Schmidt""","=""CNR927666393500""","=""Dr. Dawn Kuhlman""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN15634155""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1056""","=""2024""","=""Miriam Roob""","=""Joel Pacocha""","=""CNR500802333803""","=""Casey Gutkowski""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN57086383""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1057""","=""2024""","=""Christina Torphy""","=""Terrell Renner""","=""CNR927206219934""","=""Wilbert Sanford""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN59859788""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1058""","=""2024""","=""Al Wilkinson""","=""Dr. Kenny Williamson""","=""CNR877961153459""","=""Rafael Wuckert DDS""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN03038013""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1059""","=""2024""","=""Drew Keebler""","=""Wendy Rau""","=""CNR072210585558""","=""Jorge Bartell""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN96723859""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1060""","=""2024""","=""Dexter Batz""","=""Luther Treutel""","=""CNR004085102649""","=""Erica Dare""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN87571028""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1061""","=""2024""","=""William Okuneva""","=""Miguel Senger V""","=""CNR065103676034""","=""Bertha Toy""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN08670190""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1062""","=""2024""","=""Margarita Larson-Osinski""","=""Kristy Thiel""","=""CNR988573549855""","=""Alfredo Runolfsdottir""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN03593736""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1063""","=""2024""","=""Clark Ryan""","=""Jenna Jast""","=""CNR521289725411""","=""Jeremiah Goldner""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN01990966""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1064""","=""2024""","=""Terry Russel""","=""Hazel Lesch""","=""CNR332381301431""","=""Ms. Genevieve Kozey""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN23236993""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1065""","=""2024""","=""Stephen Wisozk""","=""Johnathan Wiza""","=""CNR378003299017""","=""Raquel Hudson""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN70409538""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1066""","=""2024""","=""Morris Mueller III""","=""Ted Veum""","=""CNR028139846199""","=""Teri Kreiger""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN93027079""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1067""","=""2024""","=""Carrie Cummerata""","=""Ms. Natasha Kuhlman""","=""CNR313552117577""","=""Olga Considine""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN05565727""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1068""","=""2024""","=""Jeremiah Morissette""","=""Marty Schultz""","=""CNR574688931466""","=""Dawn Ziemann""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN95128449""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1069""","=""2024""","=""Patricia Greenholt""","=""Verna Parker""","=""CNR276449084540""","=""Mr. Melvin White""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN74812411""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1070""","=""2024""","=""Brittany Schoen""","=""Chelsea Trantow""","=""CNR398446886847""","=""Rochelle Leffler""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN83903555""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1071""","=""2024""","=""Molly Orn""","=""Chad Effertz""","=""CNR030481014417""","=""Terrell Raynor""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN64866233""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1072""","=""2024""","=""Jill Harris""","=""Christina Hyatt""","=""CNR748828392230""","=""Bessie Volkman""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN15226160""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1073""","=""2024""","=""John Klocko""","=""Ms. Lynne Kilback""","=""CNR092934597886""","=""Wilfred Mitchell""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN93384002""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1074""","=""2024""","=""Juana Swift""","=""Allen Cormier""","=""CNR331925284486""","=""Dr. Nicolas Rice Sr.""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN30892609""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1075""","=""2024""","=""Arturo Hoppe""","=""Abraham Stracke""","=""CNR076521323659""","=""Eileen Lueilwitz""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN94656229""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1076""","=""2024""","=""Judy Walsh""","=""Melanie Emmerich""","=""CNR089868013862""","=""Delia Hilpert""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN80159605""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1077""","=""2024""","=""Omar Schuster""","=""Michelle Spinka Jr.""","=""CNR975372566166""","=""Lori Brakus""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN41843409""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1078""","=""2024""","=""Erma Nader""","=""Amy Collier-Kemmer""","=""CNR590585417819""","=""Dana Brekke""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN01646568""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1079""","=""2024""","=""Jordan Hahn""","=""Dan Altenwerth""","=""CNR199064352766""","=""Olive McCullough""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN63271380""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1080""","=""2024""","=""Carlton Murazik""","=""Harriet Abbott Jr.""","=""CNR770160015756""","=""Doris Hayes""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN81611849""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1081""","=""2024""","=""Caroline Dicki""","=""Tommy Kertzmann""","=""CNR480477519278""","=""Kristopher Osinski""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN53439694""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1082""","=""2024""","=""Salvatore Lehner""","=""Rhonda Reynolds""","=""CNR418956307179""","=""Candace Green""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN64552045""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1083""","=""2024""","=""Hugo Heathcote""","=""Sonja Satterfield-Becker""","=""CNR256598501556""","=""Jean Hauck""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN73880701""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1084""","=""2024""","=""Mr. Marvin Buckridge""","=""Rudolph Cormier""","=""CNR765195019810""","=""Iris Rau""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN24146695""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1085""","=""2024""","=""Alonzo Reilly""","=""Colin Mertz""","=""CNR330837265718""","=""Elizabeth Runte""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN31813591""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1086""","=""2024""","=""Guy Romaguera Sr.""","=""Joan Waelchi""","=""CNR931363899378""","=""Lula King""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN07635144""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1087""","=""2024""","=""Nicolas Schuppe""","=""Wallace Hills""","=""CNR544310093576""","=""Sean Zemlak""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN36000019""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1088""","=""2024""","=""Jeannie Zulauf""","=""Tyrone Kertzmann DDS""","=""CNR438558326440""","=""Maurice Swift""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN69825521""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1089""","=""2024""","=""Maryann Roberts II""","=""Tyrone Farrell""","=""CNR376054067020""","=""Dana Cruickshank""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN22860409""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1090""","=""2024""","=""Ivan Collier""","=""Traci Weissnat""","=""CNR468737565221""","=""Bert Wilderman""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN22164719""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1091""","=""2024""","=""Mr. Larry Kunde""","=""Raquel Friesen""","=""CNR414792833423""","=""Laura Ullrich""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN04692538""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1092""","=""2024""","=""Steve Kreiger""","=""Pam Langosh""","=""CNR376881070651""","=""Duane Turner""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN28874639""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1093""","=""2024""","=""Willie Beier""","=""Mitchell Dibbert I""","=""CNR178014300352""","=""Pamela McLaughlin""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN93988091""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1094""","=""2024""","=""Jacquelyn Parker""","=""Eugene Schaden II""","=""CNR187837186026""","=""Ellen Balistreri""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN98566432""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1095""","=""2024""","=""Marsha Yundt""","=""Tricia Hills""","=""CNR844486968863""","=""Judith Waters""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN13678226""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1096""","=""2024""","=""Paula Weimann""","=""Cora Johns""","=""CNR012247133890""","=""Diana Jacobs Jr.""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN36803803""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1097""","=""2024""","=""Kristen Ortiz""","=""Bruce Simonis""","=""CNR138098035750""","=""Tara Hirthe""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN05778400""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1098""","=""2024""","=""Sammy Koepp""","=""Christopher Cremin""","=""CNR424639486142""","=""Dr. Victor Marvin""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN05115279""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1099""","=""2024""","=""Darryl Hermiston""","=""Lowell Treutel-Ritchie""","=""CNR421945918002""","=""Dr. Emilio Kub""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN44047365""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1100""","=""2024""","=""Emilio Streich""","=""Miss Sherri Mann""","=""CNR331574998980""","=""Claire Dietrich""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN31687229""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1101""","=""2024""","=""Harry Schultz""","=""Mr. Adrian Kuhlman""","=""CNR984125780742""","=""Silvia Rolfson""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN75877413""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1102""","=""2024""","=""Ernest Runte""","=""Krystal Hermiston III""","=""CNR969330468468""","=""Thomas Braun V""","=""2028-12-31""","=""20260730121343739""",Success,
